,Unnamed: 0,Unnamed: 0.1,url,schedule,venue,teamA,teamB,teamA_score,teamB_score,winner_Team,winner_score,venue_location,winner_location
89,89,89,https://www.skysports.com/football/arsenal-vs-newcastle-united/446408,"12:30pm, Saturday 27th November 2021.",Emirates Stadium,Arsenal,Newcastle,2,0,Arsenal,2,"Highbury House,
75 Drayton Park,
London, N5 1BU
England[1]","Highbury House,
75 Drayton Park,
London, N5 1BU
England[1]"
90,90,90,https://www.skysports.com/football/crystal-palace-vs-aston-villa/446413,"3:00pm, Saturday 27th November 2021.",Selhurst Park,C Palace,A Villa,1,2,A Villa,2,"Selhurst
London, SE25
England","Trinity Road, Birmingham B6 6HE"
91,91,91,https://www.skysports.com/football/liverpool-vs-southampton/446415,"3:00pm, Saturday 27th November 2021.",Anfield,Liverpool,So'ton,4,0,Liverpool,4,"Anfield, Liverpool, Merseyside, England","Anfield, Liverpool, Merseyside, England"
92,92,92,https://www.skysports.com/football/norwich-city-vs-wolverhampton-wanderers/446417,"3:00pm, Saturday 27th November 2021.",Carrow Road,Norwich,Wolves,0,0,Wolves,0,"Norwich, Norfolk, England","Waterloo Road, Wolverhampton"
93,93,93,https://www.skysports.com/football/brighton-and-hove-albion-vs-leeds-united/446410,"5:30pm, Saturday 27th November 2021.",Amex Stadium,Brighton,Leeds,0,0,Leeds,0,"Falmer, Brighton, East Sussex, England","Elland Road, Beeston, Leeds, England LS11 0ES"
94,94,94,https://www.skysports.com/football/manchester-city-vs-everton/446402,"2:00pm, Sunday 21st November 2021.",Etihad Stadium,Man City,Everton,3,0,Man City,3,"Etihad Campus
Manchester
M11 3FF","Etihad Campus
Manchester
M11 3FF"
95,95,95,https://www.skysports.com/football/tottenham-hotspur-vs-leeds-united/446405,"4:30pm, Sunday 21st November 2021.",Tottenham Hotspur Stadium,Tottenham,Leeds,2,1,Tottenham,2,"Tottenham,
London, N17","Tottenham,
London, N17"
96,96,96,https://www.skysports.com/football/leicester-city-vs-chelsea/446400,"12:30pm, Saturday 20th November 2021.",The King Power Stadium,Leicester,Chelsea,0,3,Chelsea,3,"Filbert Way
Leicester
LE2 7FL","Fulham,
London, SW6
England"
97,97,97,https://www.skysports.com/football/aston-villa-vs-brighton-and-hove-albion/446398,"3:00pm, Saturday 20th November 2021.",Villa Park,A Villa,Brighton,2,0,A Villa,2,"Trinity Road, Birmingham B6 6HE","Trinity Road, Birmingham B6 6HE"
98,98,98,https://www.skysports.com/football/burnley-vs-crystal-palace/446399,"3:00pm, Saturday 20th November 2021.",Turf Moor,Burnley,C Palace,3,3,C Palace,3,"Burnley, Lancashire, England","Selhurst
London, SE25
England"
99,99,99,https://www.skysports.com/football/newcastle-united-vs-brentford/446403,"3:00pm, Saturday 20th November 2021.","St James' Park, Newcastle",Newcastle,Brentford,3,3,Brentford,3,Newcastle upon Tyne NE1 4ST,"166 Lionel Road North, Brentford, London Borough of Hounslow, England, UK"
